Número de registro o fila,Nombre de campo,Dato publicado,Dato nuevo,Estatus del cambio,Fecha de modificación,Observaciones del cambio
100,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
124,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
149,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
189,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
230,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
246,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
261,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
263,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
265,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
274,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
276,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
288,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
290,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
381,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
642,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
665,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
746,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
779,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1048,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1120,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1121,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1149,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1179,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1183,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1242,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1251,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1290,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1293,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1348,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1355,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1383,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1462,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1490,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1492,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1493,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1494,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1536,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1589,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1605,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1746,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
1983,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
2000,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
2014,p8_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico P8_2."
79,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
231,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
284,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
637,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
723,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
974,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
1131,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
1206,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
1385,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
1484,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
1490,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
1491,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
1586,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
1604,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
1760,p14_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p14_2."
239,p20_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p20_2."
649,p20_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p20_2."
669,p20_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p20_2."
1604,p20_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p20_2."
1765,p20_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p20_2."
1251,p23_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p23_2."
1352,p23_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p23_2."
1447,p23_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p23_2."
1492,p23_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p23_2."
1740,p23_2,2,1,Información revisada.,2024-07-11,"El 11 de julio de 2024, se reemplazó el archivo de Conjunto de datos de 2024 debido a que se actualizaron los campos del nmónico p23_2."
