CLAVE ,DESCRIPCION 
1,Renglón uno de los integrantes del hogar (persona elegida)  (persona elegida) 
2,Renglón dos de los integrantes del hogar (persona elegida) 
3,Renglón tres de los integrantes del hogar (persona elegida) 
4,Renglón cuatro de los integrantes del hogar (persona elegida) 
5,Renglón cinco de los integrantes del hogar (persona elegida) 
6,Renglón seis de los integrantes del hogar (persona elegida) 
7,Renglón siete de los integrantes del hogar (persona elegida) 
8,Renglón ocho de los integrantes del hogar (persona elegida) 
9,Renglón nueve de los integrantes del hogar (persona elegida) 
10,Renglón diez de los integrantes del hogar (persona elegida) 
11,Renglón once de los integrantes del hogar (persona elegida) 
12,Renglón doce de los integrantes del hogar (persona elegida) 
13,Renglón trece de los integrantes del hogar (persona elegida) 
14,Renglón catorce de los integrantes del hogar (persona elegida) 
15,Renglón quince de los integrantes del hogar (persona elegida) 
16,Renglón dieciséis de los integrantes del hogar (persona elegida) 
17,Renglón diecisiete de los integrantes del hogar (persona elegida) 
18,Renglón dieciocho de los integrantes del hogar (persona elegida) 
19,Renglón diecinueve de los integrantes del hogar (persona elegida) 
20,Renglón veinte de los integrantes del hogar (persona elegida) 
21,Renglón veintiuno de los integrantes del hogar (persona elegida) 
22,Renglón veintidós de los integrantes del hogar (persona elegida) 
23,Renglón veintitrés de los integrantes del hogar (persona elegida) 
24,Renglón veinticuatro de los integrantes del hogar (persona elegida) 
25,Renglón veinticinco de los integrantes del hogar (persona elegida) 
26,Renglón veintiséis de los integrantes del hogar (persona elegida) 
27,Renglón veintisiete de los integrantes del hogar (persona elegida) 
28,Renglón veintiocho de los integrantes del hogar (persona elegida) 
29,Renglón veintinueve de los integrantes del hogar (persona elegida) 
30,Renglón treinta de los integrantes del hogar (persona elegida) 
